acc,f1,prec,rec,weighted_f1,weighted_prec,weighted_rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,weight_decay,num_experts,nheads,n_levels,attn_dropout,embed_dropout
58.19,53.21,53.99,53.2,57.96,58.06,58.19,0.5146,MIntRec2.0,mag_bert,bert-large-uncased,2,mag_bert_MIntRec2.0_multi-class_2_2026-06-30-08-41-52,4e-06,0.5,0.03,6,8,5,0.1,0.2
58.14,48.23,53.99,49.37,55.7,56.05,58.14,0.466,MIntRec2.0,mag_bert,bert-large-uncased,2,mag_bert_MIntRec2.0_multi-class_2_2026-06-30-15-25-22,3e-06,0.5,0.03,6,8,5,0.1,0.2
58.09,51.94,51.87,52.4,57.73,57.68,58.09,0.501,MIntRec2.0,mag_bert,bert-large-uncased,2,mag_bert_MIntRec2.0_multi-class_2_2026-06-30-21-19-09,6e-06,0.5,0.03,7,8,5,0.1,0.2
57.75,49.75,52.74,50.43,56.42,56.5,57.75,0.5016,MIntRec2.0,mag_bert,bert-large-uncased,2,mag_bert_MIntRec2.0_multi-class_2_2026-06-30-20-16-25,6e-06,0.5,0.03,5,8,5,0.1,0.2
57.5,51.62,51.61,51.98,57.23,57.26,57.5,0.5015,MIntRec2.0,mag_bert,bert-large-uncased,2,mag_bert_MIntRec2.0_multi-class_2_2026-06-30-00-34-10,5e-06,0.5,0.03,2,8,5,0.1,0.2
57.35,49.84,51.84,50.21,56.14,55.82,57.35,0.4789,MIntRec2.0,mag_bert,bert-large-uncased,2,mag_bert_MIntRec2.0_multi-class_2_2026-06-30-12-23-15,3e-06,0.5,0.03,2,8,5,0.1,0.2
57.35,48.69,50.11,49.43,55.86,55.52,57.35,0.4852,MIntRec2.0,mag_bert,bert-large-uncased,2,mag_bert_MIntRec2.0_multi-class_2_2026-06-30-18-35-51,6e-06,0.5,0.03,2,8,5,0.1,0.2
56.76,48.37,48.95,49.43,55.26,54.79,56.76,0.4708,MIntRec2.0,mag_bert,bert-large-uncased,2,mag_bert_MIntRec2.0_multi-class_2_2026-06-30-22-58-21,2e-05,0.5,0.03,1,8,5,0.1,0.2
56.57,48.55,48.63,49.7,55.14,54.48,56.57,0.4751,MIntRec2.0,mag_bert,bert-large-uncased,2,mag_bert_MIntRec2.0_multi-class_2_2026-06-30-00-02-11,5e-06,0.5,0.03,1,8,5,0.1,0.2
56.32,49.7,49.33,50.94,55.49,55.29,56.32,0.48200000000000004,MIntRec2.0,mag_bert,bert-large-uncased,2,mag_bert_MIntRec2.0_multi-class_2_2026-06-30-18-01-58,6e-06,0.5,0.03,1,8,5,0.1,0.2
55.29,47.89,50.56,48.66,54.28,54.78,55.29,0.4708,MIntRec2.0,mag_bert,bert-large-uncased,2,mag_bert_MIntRec2.0_multi-class_2_2026-06-30-05-33-45,4e-06,0.5,0.03,1,8,5,0.1,0.2
55.29,44.53,46.13,45.38,53.16,53.41,55.29,0.4552,MIntRec2.0,mag_bert,bert-large-uncased,2,mag_bert_MIntRec2.0_multi-class_2_2026-06-30-06-09-12,4e-06,0.5,0.03,2,8,5,0.1,0.2
54.85,46.2,47.0,47.03,53.36,52.99,54.85,0.4643,MIntRec2.0,mag_bert,bert-large-uncased,2,mag_bert_MIntRec2.0_multi-class_2_2026-06-30-11-46-06,3e-06,0.5,0.03,1,8,5,0.1,0.2
