acc,f1,prec,rec,weighted_f1,weighted_prec,weighted_rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,weight_decay,num_experts,nheads,n_levels,attn_dropout,embed_dropout
99.11,99.14,98.91,99.41,99.12,99.16,99.11,0.9959,MIntRec2.0,mag_bert,bert-large-uncased,1,mag_bert_MIntRec2.0_multi-class_1_2026-06-29-21-17-43,5e-06,0.5,0.03,3,8,5,0.1,0.2
97.74,97.83,97.73,98.0,97.75,97.83,97.74,0.9834,MIntRec2.0,mag_bert,bert-large-uncased,1,mag_bert_MIntRec2.0_multi-class_1_2026-06-29-20-48-43,5e-06,0.5,0.03,2,8,5,0.1,0.2
93.21,92.18,91.92,92.97,93.36,93.91,93.21,0.9419,MIntRec2.0,mag_bert,bert-large-uncased,1,mag_bert_MIntRec2.0_multi-class_1_2026-06-29-20-26-52,5e-06,0.5,0.03,1,8,5,0.1,0.2
100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.0,MIntRec2.0,mag_bert,bert-large-uncased,1,mag_bert_MIntRec2.0_multi-class_1_2026-06-29-20-06-36,5e-06,0.5,0.03,0,8,5,0.1,0.2
58.73,51.71,52.96,51.91,57.53,57.12,58.73,0.5058,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-22-13-15,6e-06,0.5,0.03,7,8,5,0.1,0.2
58.63,51.96,54.25,52.06,57.56,57.75,58.63,0.4991,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-21-39-44,6e-06,0.5,0.03,6,8,5,0.1,0.2
58.53,50.27,51.54,50.81,56.93,56.28,58.53,0.4934,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-21-10-34,6e-06,0.5,0.03,5,8,5,0.1,0.2
59.52,52.12,57.33,52.54,58.15,58.91,59.52,0.4948,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-20-41-22,6e-06,0.5,0.03,4,8,5,0.1,0.2
58.53,52.29,52.75,52.66,57.95,57.78,58.53,0.5077,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-20-03-46,6e-06,0.5,0.03,3,8,5,0.1,0.2
57.89,50.96,51.54,51.43,57.44,57.55,57.89,0.5138,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-19-26-12,6e-06,0.5,0.03,2,8,5,0.1,0.2
56.47,50.66,51.01,51.16,56.1,56.19,56.47,0.4831,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-18-48-30,6e-06,0.5,0.03,1,8,5,0.1,0.2
58.73,53.14,53.67,53.13,58.3,58.37,58.73,0.5159,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-18-08-12,6e-06,0.5,0.03,0,8,5,0.1,0.2
59.17,52.18,53.7,52.06,58.18,57.83,59.17,0.5049,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-17-18-41,3e-06,0.5,0.03,8,8,5,0.1,0.2
58.78,51.37,51.9,51.67,57.92,57.51,58.78,0.505,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-16-26-29,3e-06,0.5,0.03,7,8,5,0.1,0.2
58.19,52.3,52.54,52.93,57.68,57.67,58.19,0.502,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-15-28-30,3e-06,0.5,0.03,6,8,5,0.1,0.2
58.68,51.04,51.45,51.81,57.42,56.69,58.68,0.4869,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-14-42-12,3e-06,0.5,0.03,5,8,5,0.1,0.2
58.14,51.03,52.25,51.8,57.26,57.21,58.14,0.5037,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-13-50-28,3e-06,0.5,0.03,4,8,5,0.1,0.2
57.8,51.52,52.1,52.1,57.11,57.01,57.8,0.5061,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-12-58-53,3e-06,0.5,0.03,3,8,5,0.1,0.2
57.75,51.55,53.37,51.77,56.93,56.85,57.75,0.4988,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-12-10-13,3e-06,0.5,0.03,2,8,5,0.1,0.2
55.53,47.63,50.89,47.86,54.42,54.76,55.53,0.4695,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-11-27-19,3e-06,0.5,0.03,1,8,5,0.1,0.2
59.17,50.34,54.35,50.77,57.34,57.28,59.17,0.4892,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-10-47-22,3e-06,0.5,0.03,0,8,5,0.1,0.2
58.93,53.82,54.93,53.52,58.64,58.7,58.93,0.5147,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-09-51-21,4e-06,0.5,0.03,8,8,5,0.1,0.2
58.78,51.07,54.5,51.38,57.78,58.26,58.78,0.5053,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-09-11-01,4e-06,0.5,0.03,7,8,5,0.1,0.2
59.27,50.59,51.76,51.35,57.56,56.97,59.27,0.4904,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-08-37-48,4e-06,0.5,0.03,6,8,5,0.1,0.2
58.73,52.73,52.77,53.17,58.18,57.94,58.73,0.4976,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-07-51-59,4e-06,0.5,0.03,5,8,5,0.1,0.2
58.19,52.96,53.07,53.15,58.42,58.87,58.19,0.5062,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-06-53-35,4e-06,0.5,0.03,4,8,5,0.1,0.2
58.68,52.93,58.12,52.83,57.8,58.57,58.68,0.4939,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-06-13-32,4e-06,0.5,0.03,3,8,5,0.1,0.2
58.19,50.88,51.22,51.32,57.37,57.08,58.19,0.503,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-05-30-48,4e-06,0.5,0.03,2,8,5,0.1,0.2
54.55,45.67,46.92,46.17,53.12,52.97,54.55,0.466,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-04-59-18,4e-06,0.5,0.03,1,8,5,0.1,0.2
59.81,52.76,55.84,52.81,58.61,58.59,59.81,0.5027,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-04-18-15,4e-06,0.5,0.03,0,8,5,0.1,0.2
59.08,52.29,52.08,53.04,58.61,58.44,59.08,0.5113,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-03-35-16,5e-06,0.5,0.03,8,8,5,0.1,0.2
58.39,50.52,52.03,51.19,57.09,56.82,58.39,0.5041,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-03-00-38,5e-06,0.5,0.03,7,8,5,0.1,0.2
59.37,52.02,55.78,52.48,58.08,58.56,59.37,0.499,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-02-27-32,5e-06,0.5,0.03,6,8,5,0.1,0.2
58.73,52.95,53.8,52.97,57.91,57.73,58.73,0.5047,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-01-48-52,5e-06,0.5,0.03,5,8,5,0.1,0.2
58.09,50.1,52.97,50.73,56.55,56.59,58.09,0.4939,MIntRec2.0,mag_bert,bert-large-uncased,0,mag_bert_MIntRec2.0_multi-class_0_2026-06-30-01-15-50,5e-06,0.5,0.03,4,8,5,0.1,0.2
