acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,nheads,n_levels,attn_dropout,embed_dropout
72.58,68.32,69.19,68.71,0.718,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-24-08-16-38,2.9999999999999997e-05,0.45,8,5,0.1,0.2
72.58,68.87,69.58,68.8,0.7135,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-24-08-38-50,3e-05,0.4,8,5,0.1,0.2
72.36,68.07,68.03,68.82,0.6769,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-21-04-49-05,5e-05,0.6,8,5,0.1,0.2
72.36,68.42,68.71,69.16,0.7012,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-02-52-37,3e-05,0.5,8,5,0.1,0.2
72.36,68.37,68.69,69.09,0.6857,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-24-03-54-36,2.5e-05,0.6,8,5,0.1,0.2
72.36,67.99,67.66,69.09,0.7132,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-24-05-49-02,2e-05,0.5,8,5,0.1,0.2
72.13,66.85,68.0,67.87,0.6864,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-21-04-15-41,1e-05,0.6,8,5,0.1,0.2
72.13,67.6,67.18,68.59,0.6982,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-21-06-55-26,1e-05,0.3,8,5,0.1,0.2
72.13,69.17,69.25,69.97,0.6977,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-03-07-34,2.5e-05,0.45,8,5,0.1,0.2
71.91,66.02,66.14,67.06,0.6804,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-21-06-50-21,5e-05,0.4,8,5,0.1,0.2
71.91,66.47,66.1,67.69,0.6816,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-02-12-57,2e-05,0.6,8,5,0.1,0.2
71.91,68.41,69.14,70.25,0.6943,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-03-40-51,3e-05,0.4,8,5,0.1,0.2
71.91,67.62,68.59,67.38,0.6864,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-24-04-04-24,2.9999999999999997e-05,0.6,8,5,0.1,0.2
71.91,68.83,69.82,68.81,0.7065,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-24-04-46-03,2.5e-05,0.45,8,5,0.1,0.2
71.69,68.37,69.7,68.45,0.6876,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-24-04-29-16,3e-05,0.5,8,5,0.1,0.2
71.69,67.36,68.63,67.62,0.6992,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-24-05-08-31,2.5e-05,0.4,8,5,0.1,0.2
71.69,68.22,71.25,66.7,0.7066,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-24-06-27-26,2.9999999999999997e-05,0.45,8,5,0.1,0.2
71.46,66.4,66.13,67.57,0.7057,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-21-04-25-29,2e-05,0.6,8,5,0.1,0.2
71.46,66.64,67.45,66.92,0.6889,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-24-05-38-43,2.9999999999999997e-05,0.6,8,5,0.1,0.2
71.46,67.87,68.1,68.89,0.6849,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-24-06-57-51,3e-05,0.4,8,5,0.1,0.2
71.46,66.4,66.13,67.57,0.7057,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-24-07-03-46,2e-05,0.6,8,5,0.1,0.2
71.24,67.87,68.51,68.25,0.7029,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-21-05-06-02,2e-05,0.5,8,5,0.1,0.2
71.24,66.4,66.49,67.25,0.7133,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-21-06-18-48,1e-05,0.4,8,5,0.1,0.2
71.24,66.45,67.59,67.43,0.6928,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-24-03-47-09,2e-05,0.6,8,5,0.1,0.2
71.24,65.08,65.51,66.3,0.6875,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-24-04-23-12,2.5e-05,0.5,8,5,0.1,0.2
71.24,67.52,67.92,68.03,0.6946,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-24-05-00-42,2e-05,0.4,8,5,0.1,0.2
71.24,67.87,68.51,68.25,0.7029,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-24-07-32-16,2e-05,0.5,8,5,0.1,0.2
71.01,66.09,66.24,66.97,0.6992,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-21-07-12-53,3e-05,0.3,8,5,0.1,0.2
71.01,64.37,67.55,64.16,0.7014,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-03-16-38,2.9999999999999997e-05,0.45,8,5,0.1,0.2
71.01,65.57,66.28,65.58,0.7063,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-24-04-53-38,2.9999999999999997e-05,0.45,8,5,0.1,0.2
71.01,68.73,70.4,68.29,0.6925,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-24-06-19-56,2.5e-05,0.45,8,5,0.1,0.2
71.01,65.9,67.76,65.45,0.7053,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-24-08-30-47,2.5e-05,0.4,8,5,0.1,0.2
70.79,66.49,67.16,66.93,0.7065,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-21-05-39-11,1e-05,0.45,8,5,0.1,0.2
70.79,67.41,67.77,67.94,0.688,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-24-06-02-45,3e-05,0.5,8,5,0.1,0.2
70.34,67.37,67.49,68.1,0.6915,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-24-06-46-36,2.5e-05,0.4,8,5,0.1,0.2
69.44,64.47,64.78,65.26,0.6935,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-24-05-24-44,2e-05,0.6,8,5,0.1,0.2
68.76,63.36,64.98,63.77,0.695,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-21-04-42-39,4e-05,0.6,8,5,0.1,0.2
68.76,65.49,66.2,65.84,0.6869,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-24-05-32-02,2.5e-05,0.6,8,5,0.1,0.2
68.31,64.61,65.34,65.29,0.6883,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-24-05-17-42,3e-05,0.4,8,5,0.1,0.2
67.19,64.23,63.39,66.51,0.6909,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-21-06-13-08,5e-05,0.45,8,5,0.1,0.2
