acc,f1,prec,rec,weighted_f1,weighted_prec,weighted_rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,weight_decay,num_experts,nheads,n_levels,attn_dropout,embed_dropout
72.13,68.66,68.95,69.12,72.09,72.98,72.13,0.7361,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-11-53-37,2e-05,0.5,0.03,3,8,5,0.1,0.2
72.13,68.35,69.23,68.64,71.78,72.28,72.13,0.7235,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-12-20-21,2.5e-05,0.5,0.03,4,8,5,0.1,0.2
72.13,67.97,67.77,69.07,71.58,71.66,72.13,0.7253,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2026-06-28-14-35-24,2.5e-05,0.5,0.03,2,8,5,0.1,0.2
72.13,69.94,70.44,70.62,71.96,73.48,72.13,0.7301,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2026-06-28-15-04-04,2e-05,0.4,0.03,3,8,5,0.1,0.2
72.13,68.74,71.13,67.94,72.24,73.3,72.13,0.7349,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2026-06-28-15-26-06,2.5e-05,0.4,0.03,3,8,5,0.1,0.2
71.91,66.82,66.68,68.5,71.55,72.26,71.91,0.7463,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-11-39-17,2e-05,0.5,0.03,0,8,5,0.1,0.2
71.91,68.88,73.69,68.93,71.44,73.99,71.91,0.7065,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-13-21-37,2e-05,0.6,0.03,2,8,5,0.1,0.2
71.69,67.7,68.81,67.92,71.66,72.72,71.69,0.7347,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-12-16-07,2.5e-05,0.5,0.03,3,8,5,0.1,0.2
71.69,68.92,69.02,69.39,71.91,72.6,71.69,0.7404,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-12-24-07,2e-05,0.4,0.03,0,8,5,0.1,0.2
71.69,67.65,68.05,68.24,71.33,71.65,71.69,0.7023,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2026-06-28-14-06-33,2e-05,0.5,0.03,1,8,5,0.1,0.2
71.69,67.25,67.97,67.66,71.48,72.31,71.69,0.7240000000000001,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2026-06-28-14-39-38,2.5e-05,0.5,0.03,3,8,5,0.1,0.2
71.69,67.8,66.81,70.16,71.52,72.6,71.69,0.7158,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2026-06-28-14-44-39,2.5e-05,0.5,0.03,4,8,5,0.1,0.2
71.69,68.79,69.38,69.48,71.16,72.04,71.69,0.7283,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2026-06-28-14-58-45,2e-05,0.4,0.03,2,8,5,0.1,0.2
71.69,67.07,67.46,68.06,71.02,71.35,71.69,0.7167,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2026-06-28-15-50-26,2e-05,0.6,0.03,3,8,5,0.1,0.2
71.46,66.47,67.15,66.71,70.97,71.41,71.46,0.7259,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-12-11-35,2.5e-05,0.5,0.03,2,8,5,0.1,0.2
71.46,66.24,66.0,67.1,70.72,70.5,71.46,0.7131,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2026-06-28-14-17-10,2e-05,0.5,0.03,3,8,5,0.1,0.2
71.24,67.55,67.02,69.05,71.42,72.41,71.24,0.7462,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-11-49-14,2e-05,0.5,0.03,2,8,5,0.1,0.2
71.24,67.44,67.81,68.18,70.99,71.74,71.24,0.6933,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-12-29-04,2e-05,0.4,0.03,1,8,5,0.1,0.2
71.24,65.82,65.57,67.61,70.88,71.6,71.24,0.7269,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2026-06-28-16-00-48,2.5e-05,0.6,0.03,0,8,5,0.1,0.2
71.01,68.14,68.4,68.58,70.93,71.41,71.01,0.6957,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-11-43-38,2e-05,0.5,0.03,1,8,5,0.1,0.2
71.01,66.2,66.28,67.37,70.97,72.02,71.01,0.7124,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2026-06-28-16-16-04,2.5e-05,0.6,0.03,3,8,5,0.1,0.2
70.79,66.44,65.87,67.5,69.97,69.63,70.79,0.6749,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-12-07-53,2.5e-05,0.5,0.03,1,8,5,0.1,0.2
