acc,f1,prec,rec,weighted_f1,weighted_prec,weighted_rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,weight_decay,num_experts,nheads,n_levels,attn_dropout,embed_dropout
75.51,72.75,75.63,72.38,74.75,76.06,75.51,0.7034,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2026-06-28-16-26-43,2.5e-05,0.6,0.03,3,8,5,0.1,0.2
75.06,71.97,72.52,72.14,74.84,75.25,75.06,0.7406,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2026-06-28-12-39-32,2e-05,0.4,0.03,3,8,5,0.1,0.2
75.06,71.75,71.52,72.41,74.86,75.06,75.06,0.7329,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2026-06-28-12-49-29,2.5e-05,0.4,0.03,0,8,5,0.1,0.2
75.06,71.54,72.76,71.33,74.8,75.22,75.06,0.7572,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2026-06-28-14-57-38,2e-05,0.4,0.03,0,8,5,0.1,0.2
74.61,71.8,72.42,71.57,74.7,75.1,74.61,0.7359,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2026-06-28-14-27-21,2e-05,0.5,0.03,4,8,5,0.1,0.2
74.38,70.77,71.43,71.39,73.99,74.61,74.38,0.7075,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2026-06-28-11-38-36,2e-05,0.5,0.03,0,8,5,0.1,0.2
74.38,68.44,69.18,68.29,73.75,73.51,74.38,0.738,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2026-06-28-14-34-49,2.5e-05,0.5,0.03,0,8,5,0.1,0.2
74.16,68.93,69.43,70.72,73.48,74.47,74.16,0.7396,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2026-06-28-12-22-01,2.5e-05,0.5,0.03,4,8,5,0.1,0.2
73.93,70.21,70.07,71.17,73.82,74.46,73.93,0.731,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2026-06-28-12-26-18,2e-05,0.4,0.03,0,8,5,0.1,0.2
73.71,69.59,68.93,71.23,72.99,72.94,73.71,0.7197,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2026-06-28-16-04-45,2e-05,0.6,0.03,4,8,5,0.1,0.2
73.48,71.06,72.49,70.45,73.68,74.55,73.48,0.7286,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2026-06-28-12-04-22,2.5e-05,0.5,0.03,0,8,5,0.1,0.2
73.48,70.41,71.78,70.17,73.3,73.87,73.48,0.7206,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2026-06-28-13-42-35,2.5e-05,0.6,0.03,0,8,5,0.1,0.2
73.48,68.22,69.13,68.37,72.79,72.99,73.48,0.7317,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2026-06-28-14-06-43,2e-05,0.5,0.03,0,8,5,0.1,0.2
73.48,69.99,70.08,70.61,73.27,73.5,73.48,0.713,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2026-06-28-14-21-18,2e-05,0.5,0.03,3,8,5,0.1,0.2
73.26,69.58,69.32,70.6,73.24,73.78,73.26,0.7232,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2026-06-28-13-06-47,2.5e-05,0.4,0.03,3,8,5,0.1,0.2
73.26,69.21,68.8,70.49,72.7,72.93,73.26,0.7022,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2026-06-28-13-27-31,2e-05,0.6,0.03,2,8,5,0.1,0.2
73.03,69.66,71.0,68.88,72.88,73.1,73.03,0.7132,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2026-06-28-12-58-54,2.5e-05,0.4,0.03,2,8,5,0.1,0.2
73.03,70.49,70.98,71.34,73.42,75.22,73.03,0.7266,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2026-06-28-13-36-30,2e-05,0.6,0.03,4,8,5,0.1,0.2
73.03,69.89,70.88,69.63,72.8,73.1,73.03,0.7133,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2026-06-28-15-29-48,2.5e-05,0.4,0.03,2,8,5,0.1,0.2
72.81,70.18,69.81,70.84,72.87,73.27,72.81,0.7308,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2026-06-28-11-54-24,2e-05,0.5,0.03,3,8,5,0.1,0.2
72.81,69.0,69.45,69.58,72.6,73.57,72.81,0.7275,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2026-06-28-15-47-01,2e-05,0.6,0.03,0,8,5,0.1,0.2
72.58,70.09,70.4,70.56,72.35,72.86,72.58,0.7245,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2026-06-28-14-15-19,2e-05,0.5,0.03,2,8,5,0.1,0.2
72.58,69.62,69.44,70.63,72.14,72.57,72.58,0.7361,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2026-06-28-15-06-41,2e-05,0.4,0.03,2,8,5,0.1,0.2
72.58,69.56,70.49,69.67,72.33,73.09,72.58,0.7067,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2026-06-28-15-35-53,2.5e-05,0.4,0.03,3,8,5,0.1,0.2
72.58,69.63,71.12,69.35,72.13,72.64,72.58,0.7351,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2026-06-28-16-32-49,2.5e-05,0.6,0.03,4,8,5,0.1,0.2
72.13,68.1,67.52,69.87,71.69,72.92,72.13,0.721,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2026-06-28-12-45-17,2e-05,0.4,0.03,4,8,5,0.1,0.2
72.13,67.58,67.66,68.48,71.35,71.44,72.13,0.7224,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2026-06-28-14-02-19,2.5e-05,0.6,0.03,4,8,5,0.1,0.2
72.13,67.52,67.72,67.92,71.89,72.23,72.13,0.7315,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2026-06-28-15-40-23,2.5e-05,0.4,0.03,4,8,5,0.1,0.2
71.91,68.1,68.13,69.46,71.52,72.3,71.91,0.7112,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2026-06-28-13-32-00,2e-05,0.6,0.03,3,8,5,0.1,0.2
71.91,67.85,67.49,69.49,71.8,73.07,71.91,0.688,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2026-06-28-13-47-50,2.5e-05,0.6,0.03,1,8,5,0.1,0.2
71.91,69.22,68.84,70.85,72.09,73.78,71.91,0.7153,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2026-06-28-14-53-05,2.5e-05,0.5,0.03,4,8,5,0.1,0.2
71.91,65.9,65.79,67.05,70.3,69.49,71.91,0.7135,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2026-06-28-16-10-20,2.5e-05,0.6,0.03,0,8,5,0.1,0.2
71.69,67.48,66.6,69.41,71.16,71.69,71.69,0.73,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2026-06-28-12-00-09,2e-05,0.5,0.03,4,8,5,0.1,0.2
71.69,67.12,66.86,68.46,70.9,71.06,71.69,0.7014,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2026-06-28-12-18-34,2.5e-05,0.5,0.03,3,8,5,0.1,0.2
71.69,68.53,70.19,67.83,71.84,72.72,71.69,0.7488,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2026-06-28-15-21-07,2.5e-05,0.4,0.03,0,8,5,0.1,0.2
71.46,68.87,68.6,69.63,71.53,72.2,71.46,0.7174,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2026-06-28-11-44-09,2e-05,0.5,0.03,1,8,5,0.1,0.2
