acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,weight_decay,num_experts,nheads,n_levels,attn_dropout,embed_dropout
71.91,67.85,69.37,67.84,0.7063,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-12-04-08-30-11,2.5e-05,0.45,0.03,8,8,5,0.1,0.2
71.91,66.88,66.0,68.74,0.7022,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-04-08-37-57,2.5e-05,0.45,0.03,8,8,5,0.1,0.2
71.91,67.73,68.0,68.26,0.7206,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-12-04-09-13-18,2.5e-05,0.45,0.03,5,8,5,0.1,0.2
71.91,68.25,69.67,68.44,0.7068,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-12-04-10-29-44,2.5e-05,0.45,0.03,5,8,5,0.1,0.2
71.91,68.64,68.35,69.98,0.7095,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-12-04-11-00-05,2.5e-05,0.45,0.03,6,8,5,0.1,0.2
71.91,68.28,69.09,68.64,0.7055,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-12-04-12-27-39,2.5e-05,0.45,0.03,6,8,5,0.1,0.2
71.91,67.39,67.9,67.54,0.7073,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-12-04-12-45-13,2.5e-05,0.45,0.03,8,8,5,0.1,0.2
71.69,68.95,68.74,70.31,0.7265,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-04-07-49-05,2.5e-05,0.45,0.03,3,8,5,0.1,0.2
71.69,68.5,68.82,68.94,0.7153,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-12-04-08-26-59,2.5e-05,0.45,0.03,7,8,5,0.1,0.2
71.69,68.07,69.34,68.08,0.6933,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-12-04-09-04-20,2.5e-05,0.45,0.03,4,8,5,0.1,0.2
71.69,67.83,68.81,67.58,0.7049,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-12-04-09-43-44,2.5e-05,0.45,0.03,8,8,5,0.1,0.2
71.69,68.2,68.99,68.54,0.7127,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-12-04-09-51-30,2.5e-05,0.45,0.03,8,8,5,0.1,0.2
71.69,66.67,67.05,67.6,0.6977,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-12-04-10-13-51,2.5e-05,0.45,0.03,3,8,5,0.1,0.2
71.69,68.42,69.52,68.08,0.6978,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-12-04-11-08-49,2.5e-05,0.45,0.03,7,8,5,0.1,0.2
71.46,67.4,67.89,67.87,0.703,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-12-04-08-03-41,2.5e-05,0.45,0.03,5,8,5,0.1,0.2
71.46,67.96,70.28,66.93,0.7006,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-12-04-08-14-46,2.5e-05,0.45,0.03,6,8,5,0.1,0.2
71.46,67.19,67.71,67.64,0.6905,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-12-04-09-02-21,2.5e-05,0.45,0.03,3,8,5,0.1,0.2
71.46,67.74,67.76,68.74,0.7032,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-12-04-09-20-51,2.5e-05,0.45,0.03,5,8,5,0.1,0.2
71.46,67.31,67.58,68.22,0.7008,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-12-04-10-12-56,2.5e-05,0.45,0.03,2,8,5,0.1,0.2
71.46,67.04,67.89,67.72,0.7106,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2025-12-04-10-27-26,2.5e-05,0.45,0.03,5,8,5,0.1,0.2
71.46,67.56,67.9,67.94,0.7067,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-12-04-10-37-21,2.5e-05,0.45,0.03,6,8,5,0.1,0.2
71.46,68.12,69.03,68.36,0.7066,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-12-04-12-19-41,2.5e-05,0.45,0.03,5,8,5,0.1,0.2
71.24,67.78,67.76,68.89,0.6946,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-04-07-26-16,2.5e-05,0.45,0.03,1,8,5,0.1,0.2
71.24,65.51,66.27,66.36,0.6868,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-12-04-07-39-45,2.5e-05,0.45,0.03,2,8,5,0.1,0.2
71.24,67.7,68.8,67.65,0.7114,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-12-04-07-39-33,2.5e-05,0.45,0.03,2,8,5,0.1,0.2
71.24,66.88,67.12,67.95,0.6974,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-12-04-07-57-22,2.5e-05,0.45,0.03,4,8,5,0.1,0.2
71.24,66.91,68.37,66.64,0.7047,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2025-12-04-10-01-32,2.5e-05,0.45,0.03,2,8,5,0.1,0.2
71.24,68.4,68.13,69.69,0.7221,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-12-04-10-55-24,2.5e-05,0.45,0.03,8,8,5,0.1,0.2
71.01,67.1,67.84,67.25,0.7022,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-12-04-09-22-12,2.5e-05,0.45,0.03,5,8,5,0.1,0.2
71.01,67.25,66.42,69.0,0.7065,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-12-04-10-26-14,2.5e-05,0.45,0.03,3,8,5,0.1,0.2
71.01,68.25,69.23,68.31,0.7051,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2025-12-04-10-53-13,2.5e-05,0.45,0.03,8,8,5,0.1,0.2
71.01,66.85,67.69,67.34,0.7036,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-12-04-11-20-18,2.5e-05,0.45,0.03,8,8,5,0.1,0.2
70.79,66.19,66.11,67.42,0.7247,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-12-04-09-29-31,2.5e-05,0.45,0.03,6,8,5,0.1,0.2
70.79,66.68,67.2,67.36,0.698,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-12-04-09-31-28,2.5e-05,0.45,0.03,7,8,5,0.1,0.2
70.79,67.14,67.47,67.82,0.7059,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-12-04-11-46-03,2.5e-05,0.45,0.03,2,8,5,0.1,0.2
70.56,66.46,67.93,66.2,0.7022,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-12-04-09-15-16,2.5e-05,0.45,0.03,4,8,5,0.1,0.2
70.56,67.52,67.79,68.25,0.6967,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-12-04-09-52-56,2.5e-05,0.45,0.03,1,8,5,0.1,0.2
70.56,68.18,68.52,68.52,0.7043,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2025-12-04-10-35-53,2.5e-05,0.45,0.03,6,8,5,0.1,0.2
70.34,66.32,67.87,65.54,0.6974,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-12-04-07-29-35,2.5e-05,0.45,0.03,1,8,5,0.1,0.2
70.34,63.61,65.24,63.11,0.6947,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-12-04-07-47-48,2.5e-05,0.45,0.03,3,8,5,0.1,0.2
70.34,67.71,68.12,68.74,0.6968,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-12-04-08-54-34,2.5e-05,0.45,0.03,2,8,5,0.1,0.2
70.34,66.75,67.66,66.6,0.7151,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-12-04-09-42-01,2.5e-05,0.45,0.03,8,8,5,0.1,0.2
70.34,67.22,67.92,67.42,0.7013,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2025-12-04-10-45-23,2.5e-05,0.45,0.03,7,8,5,0.1,0.2
70.11,66.68,67.62,66.96,0.7058,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-04-08-21-37,2.5e-05,0.45,0.03,6,8,5,0.1,0.2
70.11,65.35,64.89,67.18,0.7181,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-12-04-09-32-56,2.5e-05,0.45,0.03,6,8,5,0.1,0.2
70.11,65.69,66.06,66.67,0.706,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-12-04-09-36-56,2.5e-05,0.45,0.03,7,8,5,0.1,0.2
70.11,66.09,65.97,67.24,0.6990000000000001,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-12-04-10-01-58,2.5e-05,0.45,0.03,1,8,5,0.1,0.2
70.11,67.57,67.58,68.46,0.7167,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-12-04-10-05-57,2.5e-05,0.45,0.03,2,8,5,0.1,0.2
69.89,66.31,66.42,68.09,0.7029,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-12-04-09-03-28,2.5e-05,0.45,0.03,3,8,5,0.1,0.2
69.89,66.42,66.68,67.42,0.7034,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-12-04-10-35-02,2.5e-05,0.45,0.03,4,8,5,0.1,0.2
69.66,66.23,66.48,67.12,0.6978,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-12-04-08-39-40,2.5e-05,0.45,0.03,1,8,5,0.1,0.2
69.66,66.25,66.66,67.41,0.7087,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-12-04-09-10-47,2.5e-05,0.45,0.03,4,8,5,0.1,0.2
69.66,64.47,66.33,64.12,0.693,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-12-04-10-48-35,2.5e-05,0.45,0.03,7,8,5,0.1,0.2
69.66,65.83,66.34,66.78,0.7036,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-12-04-11-34-37,2.5e-05,0.45,0.03,1,8,5,0.1,0.2
69.21,65.7,66.26,66.06,0.7086,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-12-04-12-36-28,2.5e-05,0.45,0.03,7,8,5,0.1,0.2
68.99,65.0,66.46,64.28,0.6953,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2025-12-04-09-53-05,2.5e-05,0.45,0.03,1,8,5,0.1,0.2
68.09,64.64,65.22,65.32,0.7027,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-12-04-08-47-21,2.5e-05,0.45,0.03,2,8,5,0.1,0.2
67.87,64.49,66.12,64.37,0.6932,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-12-04-08-45-18,2.5e-05,0.45,0.03,1,8,5,0.1,0.2
