acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,nheads,ffn,n_levels,attn_dropout,embed_dropout
71.69,67.82,67.29,69.58,0.6996,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-25-08-04-20,2.5e-05,0.45,8,2048,5,0.1,0.2
71.91,67.77,68.42,68.0,0.6999,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-25-08-00-33,1e-05,0.45,8,2048,5,0.1,0.2
70.79,67.27,67.05,69.0,0.6859,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-25-08-11-51,1e-05,0.4,8,2048,5,0.1,0.2
68.54,63.21,63.24,65.16,0.6754,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-25-08-14-30,3e-05,0.45,8,2048,5,0.1,0.2
71.24,65.3,66.52,65.31,0.6951,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-25-08-16-54,2e-05,0.45,8,2048,5,0.1,0.2
71.01,67.25,66.92,68.92,0.6811,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-25-08-20-45,2e-05,0.4,8,2048,5,0.1,0.2
71.01,68.25,68.29,69.66,0.7120000000000001,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-25-08-21-03,1e-05,0.4,8,2048,5,0.1,0.2
71.24,66.99,67.12,67.88,0.6731,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-25-08-30-19,2.5e-05,0.4,8,2048,5,0.1,0.2
69.89,67.28,67.19,68.0,0.6986,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-25-08-24-38,2.5e-05,0.45,8,2048,5,0.1,0.2
70.56,68.07,68.82,68.75,0.6899,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-25-08-38-00,3e-05,0.45,8,2048,5,0.1,0.2
