acc,f1,prec,rec,weighted_f1,weighted_prec,weighted_rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,weight_decay,num_experts,nheads,n_levels,attn_dropout,embed_dropout
57.85,49.95,51.26,50.43,56.56,56.1,57.85,0.4981,MIntRec2.0,mag_bert,bert-large-uncased,4,mag_bert_MIntRec2.0_multi-class_4_2026-06-30-02-40-02,5e-06,0.5,0.03,3,8,5,0.1,0.2
57.6,51.4,51.42,52.18,57.02,57.04,57.6,0.5033,MIntRec2.0,mag_bert,bert-large-uncased,4,mag_bert_MIntRec2.0_multi-class_4_2026-06-30-01-59-42,5e-06,0.5,0.03,2,8,5,0.1,0.2
57.26,51.3,52.07,51.21,56.93,57.1,57.26,0.5068,MIntRec2.0,mag_bert,bert-large-uncased,4,mag_bert_MIntRec2.0_multi-class_4_2026-06-30-23-34-03,6e-06,0.5,0.03,7,8,5,0.1,0.2
56.96,51.02,50.7,51.64,56.81,56.88,56.96,0.4984,MIntRec2.0,mag_bert,bert-large-uncased,4,mag_bert_MIntRec2.0_multi-class_4_2026-06-30-14-01-54,3e-06,0.5,0.03,3,8,5,0.1,0.2
56.86,49.07,49.26,49.63,55.68,55.14,56.86,0.4911,MIntRec2.0,mag_bert,bert-large-uncased,4,mag_bert_MIntRec2.0_multi-class_4_2026-06-30-07-39-14,4e-06,0.5,0.03,2,8,5,0.1,0.2
56.71,47.28,48.7,48.1,54.82,54.27,56.71,0.48,MIntRec2.0,mag_bert,bert-large-uncased,4,mag_bert_MIntRec2.0_multi-class_4_2026-06-30-13-26-23,3e-06,0.5,0.03,2,8,5,0.1,0.2
56.47,49.02,52.01,49.24,55.47,55.82,56.47,0.4874,MIntRec2.0,mag_bert,bert-large-uncased,4,mag_bert_MIntRec2.0_multi-class_4_2026-06-30-01-27-43,5e-06,0.5,0.03,1,8,5,0.1,0.2
55.53,47.49,50.28,48.05,54.66,55.13,55.53,0.4697,MIntRec2.0,mag_bert,bert-large-uncased,4,mag_bert_MIntRec2.0_multi-class_4_2026-06-30-12-38-17,3e-06,0.5,0.03,1,8,5,0.1,0.2
55.34,48.79,50.4,49.08,54.6,54.79,55.34,0.4847,MIntRec2.0,mag_bert,bert-large-uncased,4,mag_bert_MIntRec2.0_multi-class_4_2026-06-30-19-54-45,6e-06,0.5,0.03,1,8,5,0.1,0.2
55.19,48.92,49.56,49.54,54.51,54.41,55.19,0.4824,MIntRec2.0,mag_bert,bert-large-uncased,4,mag_bert_MIntRec2.0_multi-class_4_2026-06-30-06-54-13,4e-06,0.5,0.03,1,8,5,0.1,0.2
