acc,f1,prec,rec,weighted_f1,weighted_prec,weighted_rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,weight_decay,num_experts,nheads,n_levels,attn_dropout,embed_dropout
75.96,72.01,72.69,72.22,76.0,76.71,75.96,0.7068,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2026-06-28-15-48-44,2e-05,0.6,0.03,2,8,5,0.1,0.2
75.06,71.44,72.12,71.92,74.76,75.29,75.06,0.7273,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2026-06-28-12-02-33,2.5e-05,0.5,0.03,0,8,5,0.1,0.2
75.06,70.39,70.94,71.95,74.57,75.5,75.06,0.7124,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2026-06-28-12-51-49,2.5e-05,0.4,0.03,0,8,5,0.1,0.2
74.83,70.02,71.02,69.95,74.15,74.25,74.83,0.7194,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2026-06-28-14-29-10,2.5e-05,0.5,0.03,0,8,5,0.1,0.2
74.61,70.95,71.39,71.51,74.66,75.8,74.61,0.7403,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2026-06-28-14-53-08,2e-05,0.4,0.03,0,8,5,0.1,0.2
74.16,70.61,71.43,70.52,73.99,74.36,74.16,0.7329,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2026-06-28-12-26-50,2e-05,0.4,0.03,0,8,5,0.1,0.2
73.93,70.17,70.73,70.33,73.45,73.53,73.93,0.7278,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2026-06-28-12-45-58,2e-05,0.4,0.03,4,8,5,0.1,0.2
73.71,69.87,69.45,71.26,73.95,75.11,73.71,0.7213,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2026-06-28-13-22-50,2e-05,0.6,0.03,2,8,5,0.1,0.2
73.48,70.6,70.42,71.73,73.45,74.47,73.48,0.7297,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2026-06-28-11-57-42,2e-05,0.5,0.03,4,8,5,0.1,0.2
73.48,70.52,72.39,69.86,73.1,73.77,73.48,0.7456,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2026-06-28-13-04-50,2.5e-05,0.4,0.03,3,8,5,0.1,0.2
73.48,70.48,70.85,70.78,73.5,74.24,73.48,0.7119,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2026-06-28-15-02-53,2e-05,0.4,0.03,2,8,5,0.1,0.2
73.48,69.65,70.44,70.14,72.95,73.6,73.48,0.7291,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2026-06-28-15-18-06,2.5e-05,0.4,0.03,0,8,5,0.1,0.2
73.26,69.47,70.91,69.9,72.89,73.88,73.26,0.7165,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2026-06-28-12-13-46,2.5e-05,0.5,0.03,2,8,5,0.1,0.2
73.26,67.93,69.53,68.38,72.6,73.52,73.26,0.7213,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2026-06-28-13-40-08,2.5e-05,0.6,0.03,0,8,5,0.1,0.2
73.26,70.14,70.68,70.99,73.07,73.88,73.26,0.7451,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2026-06-28-13-59-02,2.5e-05,0.6,0.03,4,8,5,0.1,0.2
73.26,70.14,70.75,70.7,73.12,73.96,73.26,0.7241,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2026-06-28-15-34-34,2.5e-05,0.4,0.03,4,8,5,0.1,0.2
73.03,69.1,68.7,69.91,72.81,73.01,73.03,0.7378,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2026-06-28-12-35-43,2e-05,0.4,0.03,2,8,5,0.1,0.2
73.03,69.76,69.09,71.32,72.9,73.88,73.03,0.7095,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2026-06-28-14-43-07,2.5e-05,0.5,0.03,3,8,5,0.1,0.2
72.81,68.4,67.73,70.1,72.51,73.14,72.81,0.7272,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2026-06-28-11-39-40,2e-05,0.5,0.03,0,8,5,0.1,0.2
72.81,69.18,69.08,69.72,72.51,72.63,72.81,0.6821,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2026-06-28-12-08-52,2.5e-05,0.5,0.03,1,8,5,0.1,0.2
72.81,67.74,68.73,68.54,71.61,71.97,72.81,0.7056,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2026-06-28-13-14-12,2e-05,0.6,0.03,0,8,5,0.1,0.2
72.81,69.15,69.49,69.69,72.82,73.74,72.81,0.73,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2026-06-28-13-28-46,2e-05,0.6,0.03,3,8,5,0.1,0.2
72.81,68.47,68.52,70.07,71.86,72.2,72.81,0.7027,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2026-06-28-16-18-07,2.5e-05,0.6,0.03,3,8,5,0.1,0.2
72.58,70.49,69.57,72.56,71.97,72.86,72.58,0.7126,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2026-06-28-13-53-44,2.5e-05,0.6,0.03,3,8,5,0.1,0.2
72.58,67.47,68.13,67.88,71.73,71.65,72.58,0.7129,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2026-06-28-14-20-42,2e-05,0.5,0.03,3,8,5,0.1,0.2
72.58,70.08,70.3,70.84,72.41,73.35,72.58,0.7094,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2026-06-28-14-24-26,2e-05,0.5,0.03,4,8,5,0.1,0.2
72.58,67.48,67.14,68.8,71.47,71.36,72.58,0.7209,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2026-06-28-15-39-17,2e-05,0.6,0.03,0,8,5,0.1,0.2
72.36,69.2,69.1,70.57,72.25,73.36,72.36,0.7086,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2026-06-28-15-53-28,2e-05,0.6,0.03,3,8,5,0.1,0.2
72.13,67.72,68.09,68.23,71.84,72.25,72.13,0.7422,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2026-06-28-15-58-13,2e-05,0.6,0.03,4,8,5,0.1,0.2
71.91,67.69,69.14,68.48,71.39,72.95,71.91,0.7229,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2026-06-28-13-48-47,2.5e-05,0.6,0.03,2,8,5,0.1,0.2
71.91,69.11,69.58,69.35,72.14,72.86,71.91,0.7273,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2026-06-28-15-07-39,2e-05,0.4,0.03,3,8,5,0.1,0.2
71.69,68.96,69.08,69.55,71.89,72.77,71.69,0.735,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2026-06-28-11-52-07,2e-05,0.5,0.03,3,8,5,0.1,0.2
