acc,f1,prec,rec,weighted_f1,weighted_prec,weighted_rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,weight_decay,num_experts,nheads,n_levels,attn_dropout,embed_dropout
74.83,72.09,73.95,71.6,74.67,75.49,74.83,0.7301,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2026-06-28-14-47-49,2e-05,0.4,0.03,0,8,5,0.1,0.2
74.38,69.68,69.05,71.25,73.98,74.61,74.38,0.7173,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2026-06-28-15-36-35,2e-05,0.6,0.03,0,8,5,0.1,0.2
74.16,71.85,72.87,72.08,74.06,74.88,74.16,0.7481,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2026-06-28-11-57-14,2.5e-05,0.5,0.03,0,8,5,0.1,0.2
74.16,70.82,70.77,71.38,74.25,74.84,74.16,0.7331,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2026-06-28-14-14-52,2e-05,0.5,0.03,3,8,5,0.1,0.2
73.93,69.18,69.6,70.12,73.72,74.64,73.93,0.7285,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2026-06-28-12-48-19,2.5e-05,0.4,0.03,0,8,5,0.1,0.2
73.93,71.47,72.16,72.19,74.04,75.81,73.93,0.7165,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2026-06-28-14-08-26,2e-05,0.5,0.03,2,8,5,0.1,0.2
73.71,70.02,71.39,70.03,73.46,74.29,73.71,0.7478,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2026-06-28-12-38-05,2e-05,0.4,0.03,3,8,5,0.1,0.2
73.71,70.26,70.78,71.22,73.57,74.55,73.71,0.7002,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2026-06-28-15-45-43,2e-05,0.6,0.03,2,8,5,0.1,0.2
73.71,70.57,72.06,70.9,73.25,74.16,73.71,0.7143,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2026-06-28-15-58-23,2e-05,0.6,0.03,4,8,5,0.1,0.2
73.71,68.75,68.11,70.38,72.76,72.69,73.71,0.7187,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2026-06-28-16-05-22,2.5e-05,0.6,0.03,0,8,5,0.1,0.2
73.48,69.18,69.54,69.49,73.01,72.98,73.48,0.7178,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2026-06-28-15-05-11,2e-05,0.4,0.03,3,8,5,0.1,0.2
73.26,68.75,67.65,70.38,72.68,72.56,73.26,0.7354,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2026-06-28-11-52-48,2e-05,0.5,0.03,4,8,5,0.1,0.2
73.26,68.53,69.26,68.95,72.52,72.44,73.26,0.7249,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2026-06-28-13-11-39,2e-05,0.6,0.03,0,8,5,0.1,0.2
73.26,69.95,69.8,71.15,72.95,73.5,73.26,0.7351,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2026-06-28-14-59-28,2e-05,0.4,0.03,2,8,5,0.1,0.2
73.03,69.95,69.99,71.47,72.19,72.8,73.03,0.7119,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2026-06-28-14-43-24,2.5e-05,0.5,0.03,4,8,5,0.1,0.2
72.81,68.67,68.91,69.23,72.54,72.94,72.81,0.7295,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2026-06-28-11-47-57,2e-05,0.5,0.03,3,8,5,0.1,0.2
72.81,69.31,70.41,69.32,72.41,72.74,72.81,0.7373,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2026-06-28-13-00-51,2.5e-05,0.4,0.03,3,8,5,0.1,0.2
72.81,69.11,69.12,70.34,72.33,72.65,72.81,0.7225,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2026-06-28-14-21-05,2e-05,0.5,0.03,4,8,5,0.1,0.2
72.81,68.78,68.8,69.71,72.42,72.83,72.81,0.7378,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2026-06-28-15-10-24,2e-05,0.4,0.03,4,8,5,0.1,0.2
72.81,68.9,68.5,69.96,72.57,72.94,72.81,0.7343,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2026-06-28-15-15-22,2.5e-05,0.4,0.03,0,8,5,0.1,0.2
72.58,69.33,69.54,70.41,72.5,73.83,72.58,0.7122,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2026-06-28-11-42-35,2e-05,0.5,0.03,2,8,5,0.1,0.2
72.58,69.45,69.44,70.8,73.14,75.0,72.58,0.7217,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2026-06-28-12-12-24,2.5e-05,0.5,0.03,3,8,5,0.1,0.2
72.58,67.09,67.28,68.54,71.71,72.12,72.58,0.7119,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2026-06-28-13-34-49,2.5e-05,0.6,0.03,0,8,5,0.1,0.2
72.36,67.78,67.16,69.61,71.88,72.57,72.36,0.7239,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2026-06-28-11-33-11,2e-05,0.5,0.03,0,8,5,0.1,0.2
72.36,68.6,69.43,68.49,72.29,72.82,72.36,0.7347,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2026-06-28-12-21-52,2e-05,0.4,0.03,0,8,5,0.1,0.2
72.36,70.28,70.63,70.76,72.45,73.4,72.36,0.7236,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2026-06-28-12-43-11,2e-05,0.4,0.03,4,8,5,0.1,0.2
72.36,69.99,71.3,69.97,72.38,73.43,72.36,0.7304,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2026-06-28-13-07-17,2.5e-05,0.4,0.03,4,8,5,0.1,0.2
