acc,f1,prec,rec,weighted_f1,weighted_prec,weighted_rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,weight_decay,num_experts,nheads,n_levels,attn_dropout,embed_dropout
72.81,69.8,69.81,71.2,72.58,73.67,72.81,0.7203,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2026-06-28-13-38-49,2e-05,0.6,0.03,3,8,5,0.1,0.2
72.81,68.9,68.61,70.06,72.54,73.05,72.81,0.7307,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2026-06-28-14-42-22,2e-05,0.5,0.03,4,8,5,0.1,0.2
72.58,68.63,68.95,69.46,72.27,72.81,72.58,0.7170000000000001,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2026-06-28-14-06-34,2.5e-05,0.6,0.03,3,8,5,0.1,0.2
72.58,69.61,69.09,71.25,72.74,73.88,72.58,0.7351,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2026-06-28-15-05-16,2.5e-05,0.5,0.03,4,8,5,0.1,0.2
72.58,67.64,67.81,68.03,72.25,72.33,72.58,0.7425,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2026-06-28-15-41-48,2.5e-05,0.4,0.03,2,8,5,0.1,0.2
72.36,69.97,69.96,70.77,72.49,73.33,72.36,0.7290000000000001,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2026-06-28-12-41-01,2e-05,0.4,0.03,2,8,5,0.1,0.2
72.36,68.31,68.67,68.52,71.8,71.75,72.36,0.7199,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2026-06-28-13-33-12,2e-05,0.6,0.03,2,8,5,0.1,0.2
72.36,68.59,68.68,69.21,72.45,73.13,72.36,0.7165,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2026-06-28-15-28-37,2e-05,0.4,0.03,4,8,5,0.1,0.2
72.36,66.6,66.87,67.7,71.8,72.27,72.36,0.7108,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2026-06-28-16-16-04,2e-05,0.6,0.03,3,8,5,0.1,0.2
72.13,68.51,68.93,69.28,71.78,72.33,72.13,0.7017,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2026-06-28-14-00-22,2.5e-05,0.6,0.03,2,8,5,0.1,0.2
71.91,67.85,67.74,69.09,71.71,72.43,71.91,0.7166,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2026-06-28-14-29-51,2e-05,0.5,0.03,2,8,5,0.1,0.2
71.91,68.25,67.84,69.57,71.94,72.94,71.91,0.7461,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2026-06-28-15-23-50,2e-05,0.4,0.03,3,8,5,0.1,0.2
71.46,66.88,66.66,68.45,70.63,71.17,71.46,0.7096,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2026-06-28-12-16-03,2.5e-05,0.5,0.03,2,8,5,0.1,0.2
71.46,68.08,67.71,69.15,71.47,71.97,71.46,0.7096,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2026-06-28-15-00-09,2.5e-05,0.5,0.03,3,8,5,0.1,0.2
71.46,67.44,67.74,67.88,71.71,72.58,71.46,0.7131,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2026-06-28-15-58-15,2e-05,0.6,0.03,0,8,5,0.1,0.2
71.46,66.1,66.83,66.55,70.95,71.38,71.46,0.6954,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2026-06-28-16-03-02,2e-05,0.6,0.03,1,8,5,0.1,0.2
71.24,66.94,66.61,68.54,71.12,72.02,71.24,0.7179,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2026-06-28-13-19-03,2.5e-05,0.4,0.03,4,8,5,0.1,0.2
71.24,66.09,67.27,66.78,70.36,71.1,71.24,0.7088,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2026-06-28-16-38-27,2.5e-05,0.6,0.03,2,8,5,0.1,0.2
71.01,67.27,67.08,68.05,71.08,71.67,71.01,0.6994,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2026-06-28-16-10-23,2e-05,0.6,0.03,2,8,5,0.1,0.2
70.79,68.71,68.63,70.43,70.6,72.36,70.79,0.6889,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2026-06-28-11-43-32,2e-05,0.5,0.03,1,8,5,0.1,0.2
70.79,66.19,66.14,67.73,70.07,70.8,70.79,0.6833,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2026-06-28-13-55-37,2.5e-05,0.6,0.03,1,8,5,0.1,0.2
70.79,67.18,66.47,68.81,70.56,71.54,70.79,0.7395,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2026-06-28-14-19-33,2e-05,0.5,0.03,0,8,5,0.1,0.2
70.56,66.94,67.09,67.55,70.31,70.64,70.56,0.7297,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2026-06-28-13-07-32,2.5e-05,0.4,0.03,2,8,5,0.1,0.2
70.56,66.77,67.58,66.83,70.23,70.5,70.56,0.7334,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2026-06-28-15-18-42,2e-05,0.4,0.03,2,8,5,0.1,0.2
70.34,66.47,67.59,67.21,70.5,71.97,70.34,0.6972,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2026-06-28-12-11-18,2.5e-05,0.5,0.03,1,8,5,0.1,0.2
70.11,66.34,67.09,66.93,70.42,71.89,70.11,0.6987,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2026-06-28-13-02-49,2.5e-05,0.4,0.03,1,8,5,0.1,0.2
70.11,64.8,64.77,65.94,69.64,70.3,70.11,0.6726,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2026-06-28-13-28-12,2e-05,0.6,0.03,1,8,5,0.1,0.2
69.89,65.23,65.5,66.35,69.34,69.98,69.89,0.7044,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2026-06-28-14-24-32,2e-05,0.5,0.03,1,8,5,0.1,0.2
69.66,66.42,65.59,68.96,70.06,72.21,69.66,0.7194,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2026-06-28-14-55-22,2.5e-05,0.5,0.03,2,8,5,0.1,0.2
69.66,65.38,66.73,66.8,69.13,70.55,69.66,0.6785,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2026-06-28-15-14-22,2e-05,0.4,0.03,1,8,5,0.1,0.2
69.66,66.63,67.85,67.44,69.56,70.76,69.66,0.6755,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2026-06-28-16-33-20,2.5e-05,0.6,0.03,1,8,5,0.1,0.2
69.44,65.57,66.72,65.86,69.45,70.64,69.44,0.701,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2026-06-28-12-36-12,2e-05,0.4,0.03,1,8,5,0.1,0.2
68.99,64.26,64.75,65.13,68.25,68.48,68.99,0.6992,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2026-06-28-14-51-25,2.5e-05,0.5,0.03,1,8,5,0.1,0.2
67.87,63.62,63.53,65.25,67.4,68.23,67.87,0.6935,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2026-06-28-15-37-35,2.5e-05,0.4,0.03,1,8,5,0.1,0.2
